age_check,dairy_check,enum_name,parti_name,parti_gender,home_location,village_name,age,education,hh_depen,farming_years,perc_dairy,second_income_employment,second_income_labour,second_income_business,second_income_other,second_income_none,second_income_other_farming,num_cows,other_livestock,other_livestock_type,other_livestock_number,amount_milk,farm_size,decision_maker,decision_maker_gender,price_coop,price_market,transport_market,market_distance,mobile_access,elec_access,internet_access,con_personal,sell_coop,sell_market,farmer_group,farmer_group_repeat_1_group_name,farmer_group_repeat_1_group_purpose,farmer_group_repeat_1_group_mem_relationship,farmer_group_repeat_1_neg_relationship_coop,farmer_group_repeat_2_group_name,farmer_group_repeat_2_group_purpose,farmer_group_repeat_2_group_mem_relationship,info_recieved_coop,info_recieved_ffs,info_recieved_vol_trainers,info_recieved_gov_ext,info_recieved_ext_off,info_recieved_ngo_proj,info_recieved_gov_proj,info_recieved_tv,info_recieved_radio,info_recieved_newspaper,info_recieved_other,info_other,helpful_coop,helpful_ffs,helpful_vol_trainer,helpful_gov_ext,helpful_ext_off,helpful_ngo_proj,helpful_gov_proj,helpful_tv,helpful_radio,helpful_newspaper,other_formal_source_1_name_other,other_formal_source_1_helpful_other,other_formal_source_1_other_unhelp,village_relationship,neg_relationship_village,family_relationship,family_village,family_distance,family_transport,religious_comm,religious_comm_repeat_1_which_religious_comm,religious_comm_repeat_1_reglious_freq,finance_group,finance_group_repeat_1_finance_group_name,finance_group_repeat_1_finance_group_info,finance_group_repeat_1_fiannce_group_purpose,finance_group_repeat_2_finance_group_name,finance_group_repeat_2_finance_group_info,finance_group_repeat_2_fiannce_group_purpose,finance_group_repeat_3_finance_group_name,finance_group_repeat_3_finance_group_info,finance_group_repeat_3_fiannce_group_purpose,social_groups,social_group_repeat_1_social_groups_info,social_group_repeat_1_social_group_freq,social_group_repeat_2_social_groups_info,social_group_repeat_2_social_group_freq,feed_training,feed_training_source,improved_feed_nap_kak_1,improved_feed_nap_kak_2,improved_feed_desho_grass,improved_feed_chloris,improved_feed_phalaris,improved_feed_guat_grass,improved_feed_rhodes_grass,improved_feed_blue_buff_grass,improved_feed_bracchiaria,improved_maize,improved_cowpea,improved_feed_desmodium,improved_feed_vetch,improved_feed_lucerne,improved_feed_trifolium,improved_feed_medicago,improved_pigeonpea,improved_lablab,improved_feed_sesbania,improved_feed_leucaena,improved_feed_glyricidia,improved_feed_calliandra,improved_feed_tagasaste_tree_lucerne,improved_feed_napier_other_improv,improved_feed_setaria_grass,improved_oats,improved_feed_vetiver_grass,improved_sorghum,improved_feed_none,improved_feed_other,improved_feed_other_2,aware_feed_benefits,what_feed_benefits,feed_used,feed_used_specific,feed_seed_source,feed_recommend,feed_no_recomm,no_feed_use,hay_making,hay_making_source,hay_benefits_yes,hay_making_recommend,vet_access,vet_access_time,animal_disease,animal_vet_attend,animal_vet_access,vet_recommend,vet_no_recommend,animal_vet_no,vaccine_aware,vaccine_benefits,vaccine_benefits_source,vaccine_use,vaccine_access,vaccine_noaccess,vaccine_no_reason,vaccine_recomm,improv_breed,improv_benefits,perc_crossbreed,breed_service_ai,breed_service_hired,breed_service_own,breed_service_community,ai_access_coop,ai_access_ffs,ai_access_vol_trainers,ai_access_gov_ext,ai_access_ext_off,ai_access_ngo_proj,ai_access_gov_proj,ai_access_tv,ai_access_radio,ai_access_newspaper,ai_access_other_farmers,ai_access_neighbours,ai_access_don_t_know,ai_access_other,ai_access_none,ai_access_vet,ai_access_agrovet,ai_recommend,hired_access_coop,hired_access_ffs,hired_access_vol_trainers,hired_access_gov_ext,hired_access_ext_off,hired_access_ngo_proj,hired_access_gov_proj,hired_access_tv,hired_access_radio,hired_access_newspaper,hired_access_other_farmers,hired_access_neighbours,hired_access_don_t_know,hired_access_other,hired_access_none,hired_access_vet,hired_access_agrovet,hired_access_other_2,hired_recommend,info_source_coop,info_source_ffs,info_source_vol_trainers,info_source_gov_ext,info_source_ext_off,info_source_ngo_proj,info_source_gov_proj,info_source_tv,info_source_radio,info_source_newspaper,info_source_other_farmers,info_source_neighbours,info_source_don_t_know,info_source_other,info_source_none,info_source_vet,info_source_agrovet,info_source_other_2,info_outside,info_mobile,info_mobile_topics,person_1,person_1_location,person_1_distance,person_2,person_2_location,person_2_distance,person_3,person_3_location,person_3_distance,person_4,person_4_location,person_4_distance,county
TRUE,TRUE,valentine,sp001,female,south ugenya,sigulu,28,primary,3,5,10,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,NA,15,0.6_2.5,FALSE,male,0,60,foot,8,TRUE,FALSE,FALSE,100,0,0,TRUE,siaya bee keepers and processing,production and processing of honey,4,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,FALSE,TRUE,NA,NA,TRUE,church,more_weekly,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,anyuola,monthly,NA,NA,TRUE,other farmer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,improves milk production,TRUE,napier,from other farmers,TRUE,NA,NA,FALSE,NA,lack of knowledge,NA,TRUE,NA,TRUE,TRUE,recommended by other farmers,TRUE,NA,NA,TRUE,prevents diseases,other farmer,FALSE,FALSE,TRUE,NA,NA,TRUE,better breeds producing more milk,0,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,sp003,sigulu,5,sp002,sigulu,5,sx393,sigulu,5,sp005,sigulu,2,siaya
TRUE,TRUE,valentine,sp002,female,south ugunja,sigulu,28,primary,0,2,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,1,FALSE,NA,NA,7,0.6_2.5,FALSE,male,NA,60,foot,6,TRUE,FALSE,FALSE,100,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,TRUE,TRUE,NA,NA,TRUE,church,weekly,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,no access to seed,FALSE,NA,lack of knowledge,NA,TRUE,NA,TRUE,TRUE,by other farmers,TRUE,NA,NA,FALSE,NA,NA,FALSE,TRUE,NA,NA,NA,TRUE,improved breeds producing more milk.,100,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,sp045,sigulu,5,sp003,sigulu,5,sx393,sigulu,5,sp001,sigulu,10,siaya
TRUE,TRUE,valentine,sp003,female,south ugunya,sigulu,54,primary,2,31,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,NA,15,0.6_2.5,TRUE,NA,NA,60,foot,8,TRUE,FALSE,FALSE,10,0,90,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,5,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,TRUE,TRUE,NA,NA,TRUE,church,weekly,TRUE,onyalo biro,TRUE,provide loans for personal use.,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,other farmer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,improves milk production,TRUE,napier,from other farmers,TRUE,NA,NA,FALSE,NA,lack of knowledge;other,NA,TRUE,NA,TRUE,TRUE,from other farmers.,TRUE,NA,NA,TRUE,prevents diseases,government extensionists;other farmer,TRUE,NA,NA,NA,TRUE,TRUE,improved breeds,0,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,sp004,sigulu,9,sp002,sigulu,5,sx394,sigulu,10,NA,NA,NA,siaya
TRUE,TRUE,valentine,sp004,female,south ugenya,sigulu,60,above_primary,1,40,30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,TRUE,goats,1,56,greater_2.6,TRUE,NA,0,60,foot,7,TRUE,FALSE,FALSE,5,0,95,TRUE,siaya bee keepers and processing,production and processing of honey,5,NA,sigulu farmers,for agribusiness,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,TRUE,TRUE,NA,NA,TRUE,church,weekly,TRUE,ugunja bee keepers,TRUE,loans,hiro east umbrella,TRUE,loans for personal use,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,government extensionists,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,improves milk and general animal health,TRUE,"braccharia, napier and desmodium","bought from the market,fips and other farmers",TRUE,NA,NA,TRUE,from farmers training,NA,TRUE,TRUE,NA,TRUE,TRUE,from other farmers,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,NA,NA,TRUE,improved cow breeds,100,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,sx259,sigulu,5,sp025,sigulu,7,sx395,lolwe,30,sp003,sigulu,10,siaya
TRUE,TRUE,valentine,sp005,female,south ugenya,sigulu,19,primary,1,2,10,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,NA,7,0.6_2.5,FALSE,male,NA,60,foot,7,TRUE,FALSE,FALSE,100,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,TRUE,TRUE,NA,NA,TRUE,church,weekly,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,improves milk production,TRUE,napier,from other farmers,TRUE,NA,NA,FALSE,NA,lack of knowledge,NA,TRUE,NA,TRUE,TRUE,from other farmers,TRUE,NA,NA,TRUE,prevents diseases,radio,FALSE,FALSE,TRUE,NA,NA,TRUE,you get improved calfs,0,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,sp030,sigulu,5,sp003,sigulu,5,NA,NA,NA,NA,NA,NA,siaya
TRUE,TRUE,valerie,sp006,female,nyabega,nyakonya,36,primary,8,13,60,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,2,FALSE,NA,NA,14,0.6_2.5,FALSE,male,NA,50,foot,1,TRUE,FALSE,TRUE,50,0,50,TRUE,one acre fund,credit and input provision,5,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,apprenticeship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,apprenticeship,5,NA,1,disputes,FALSE,TRUE,NA,NA,TRUE,church,weekly,TRUE,mayienga women's group,TRUE,merry go round,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,expensive,FALSE,NA,lack of knowledge,NA,TRUE,NA,TRUE,TRUE,recommended by neighbour,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,0,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,NA,sp010,nyakonya,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,siaya
TRUE,TRUE,valerie,sp007,male,nyakonya,nyakonya,50,above_primary,5,10,20,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,1,FALSE,NA,NA,14,0_0.5,TRUE,NA,NA,50,foot,10,TRUE,FALSE,FALSE,100,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,apprenticeship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,apprenticeship,5,NA,5,NA,TRUE,TRUE,NA,NA,TRUE,church,weekly,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,expensive,FALSE,NA,lack of knowledge,NA,FALSE,60,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,0,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,NA,sp010,nyakonya,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,siaya
TRUE,TRUE,valerie,sp008,male,nyabeda,nalo,45,above_primary,8,10,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,NA,14,0_0.5,TRUE,NA,NA,50,foot,10,TRUE,FALSE,FALSE,100,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,expensive,FALSE,NA,lack of knowledge,NA,FALSE,60,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,0,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,sp009,nalo,2,sp029,nalo,5,NA,NA,NA,NA,NA,NA,siaya
TRUE,TRUE,valerie,sp009,male,north gem,nalo,52,above_primary,8,11,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,NA,NA,1,0.6_2.5,TRUE,NA,NA,NA,foot,1,TRUE,FALSE,FALSE,100,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,apprenticeship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,apprenticeship,5,NA,5,NA,TRUE,TRUE,NA,NA,TRUE,church,weekly,TRUE,ndiany,TRUE,savings and credit,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,expensive,FALSE,NA,lack of knowledge,NA,TRUE,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,0,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,sp008,nalo,2,sp029,nalo,5,sp033,nalo,5,sx451,nalo,10,siaya
TRUE,TRUE,valerie,sp010,female,nyabeda,nyakonya,70,primary,3,22,70,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,FALSE,NA,NA,2,0.6_2.5,FALSE,male,NA,60,motorbike,1,TRUE,TRUE,TRUE,50,0,50,TRUE,one acre fund,credit and input provision,5,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,apprenticeship,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,apprenticeship,5,NA,5,NA,TRUE,TRUE,NA,NA,TRUE,church,weekly,TRUE,north gem,TRUE,credit provision,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,expensive,FALSE,NA,lack of knowledge,NA,TRUE,NA,TRUE,TRUE,recommended by family friend,TRUE,NA,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,NA,NA,FALSE,NA,0,FALSE,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,NA,sp007,nyakonya,3,sp029,nalo,10,NA,NA,NA,NA,NA,NA,siaya
